test,chain_length,core_area,hold_ws_basic,hold_ws_fault,hold_ws_opt,hold_ws_skip,routing_time_basic,routing_time_fault,routing_time_opt,routing_time_skip,scannable_element_density,setup_ws_basic,setup_ws_fault,setup_ws_opt,setup_ws_skip,twl_after,twl_before,twl_internal_after,twl_internal_before,twl_internal_reduction_pct,twl_reduction_pct,ys_cell_count
s713,75,6831.55,-0.014418799895505806,-0.008815726176361819,-0.008023831826076008,0.05680839293103217,00:00:53.435,00:00:51.683,00:00:49.810,00:00:37.482,0.010978474870271022,-4.066739948789851,-3.3404746581040343,-4.047105876088671,-3.706126177516451,672670,799510,604480,664100,8.977563619936756,15.864717139247789,833
s820,42,5371.4,-0.00898814381696241,-0.0073561714357593296,-0.011219525626113069,0.07134071313401646,00:01:21.856,00:01:05.061,00:01:11.549,00:00:50.334,0.00781919052760919,-0.7865726070890628,-1.26883396270028,-0.611690271304098,-0.0775690644783134,401550,426230,337300,361980,6.818056246201448,5.790301011191141,682
s820a,42,5371.4,-0.00898814381696241,-0.0073561714357593296,-0.011219525626113069,0.07134071313401646,00:01:26.639,00:01:22.412,00:01:21.722,00:00:49.569,0.00781919052760919,-0.7865726070890628,-1.26883396270028,-0.611690271304098,-0.0775690644783134,401550,426230,337300,361980,6.818056246201448,5.790301011191141,682
s832,42,5438.97,-0.007563672124930292,-0.00785108111855861,-0.008554601713584879,0.07074296904065293,00:01:11.302,00:01:34.316,00:01:12.231,00:01:05.154,0.00772205031467355,-1.6876909236711657,-2.731400960498375,-1.729521463886831,-1.3241417226376369,425270,594110,395220,443320,10.849950374447353,28.418979650233123,705
s832a,42,5438.97,-0.007563672124930292,-0.00785108111855861,-0.008554601713584879,0.07074296904065293,00:01:02.497,00:01:30.412,00:01:03.136,00:00:54.096,0.00772205031467355,-1.6876909236711657,-2.731400960498375,-1.729521463886831,-1.3241417226376369,425270,594110,395220,443320,10.849950374447353,28.418979650233123,705
s838,67,7567.26,-0.003141015314527857,0.000294875243680083,-0.0012171930474723608,0.05760270201646483,00:00:48.387,00:00:52.635,00:00:49.017,00:00:40.785,0.008853931277635499,-2.876899688793375,-2.278124420255398,-3.0060834672354857,-2.3473863517393143,830840,1050640,779760,924840,15.687037757882443,20.920581740653315,923
s9234,210,21823.4,-0.012814361046092132,-0.0054237171844432434,-0.012095769173080332,-0.022168434382320187,00:02:17.603,00:02:52.273,00:02:26.452,00:01:46.838,0.009622698571258373,-1.7105419786994824,-1.9326549796446153,-1.586959053530404,-1.2462982110198741,1996870,2522710,1953040,2264060,13.737268446949285,20.84425082550115,2531
s9234a,210,21823.4,-0.012814361046092132,-0.0054237171844432434,-0.012095769173080332,-0.022168434382320187,00:02:30.655,00:02:42.829,00:02:30.394,00:01:55.036,0.009622698571258373,-1.7105419786994824,-1.9326549796446153,-1.586959053530404,-1.2462982110198741,1996870,2522710,1953040,2264060,13.737268446949285,20.84425082550115,2531
s953,68,7767.45,-0.009422629609937562,-0.007308542866655883,-0.011900647470984044,-0.018246848992677967,00:01:38.859,00:01:29.601,00:01:44.980,00:01:20.662,0.008754481844105853,1.1151604399991606,0.9628209613221602,1.0189094301125132,0.9996892485666188,684270,760910,640900,671080,4.497228348334029,10.072150451433153,983
s953a,68,7767.45,-0.009422629609937562,-0.007308542866655883,-0.011900647470984044,-0.018246848992677967,00:01:39.384,00:00:41.914,00:00:49.594,00:00:38.168,0.008754481844105853,1.1151604399991606,0.9628209613221602,1.0189094301125132,0.9996892485666188,684270,760910,640900,671080,4.497228348334029,10.072150451433153,983
